timestamp,dpid,packet_count,byte_count,duration_sec
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,0,0,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,0,0,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,0,0,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,2,196,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,1,98,0
1770562037.5941675,1,0,0,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.5988417,4,2,196,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.5988417,4,1,98,0
1770562037.5988417,4,0,0,0
1770562037.598908,2,2,196,0
1770562037.598908,2,2,196,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
1770562037.598908,2,2,196,0
1770562037.598908,2,1,98,0
